DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653651,PA14_17540,CDS,1506451,1506912,+,recX,,recombination regulator RecX,,,YP_789548.1 ; WP_003138036.1,462,154,17.4,10.39,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653653,PA14_17550,CDS,1506934,1508004,-,,,hypothetical protein,,,YP_789549.1 ; WP_003092255.1,1071,357,40.5,5.99,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653655,PA14_17570,CDS,1508087,1509490,-,,,hypothetical protein,,,YP_789550.1 ; WP_003092253.1,1404,468,52,7.07,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653657,PA14_17580,CDS,1509670,1512075,+,,,hypothetical protein,,,YP_789551.1 ; WP_003138037.1,2406,802,88.4,6.38,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653659,PA14_17590,CDS,1512199,1512420,-,,,hypothetical protein,,,YP_789552.1 ; WP_003092249.1,222,74,8.4,9.93,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653661,PA14_17600,CDS,1512439,1512849,-,,,hypothetical protein,,,YP_789553.1 ; WP_003092248.1,411,137,15,8.85,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653663,PA14_17610,CDS,1513025,1514089,-,potD,,polyamine ABC transporter,,,YP_789554.1 ; WP_003138038.1,1065,355,39.3,5.51,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653665,PA14_17620,CDS,1514178,1514948,-,potC,,polyamine transport protein PotC,,,YP_789555.1 ; WP_003092244.1,771,257,27.7,9.7,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653667,PA14_17630,CDS,1514941,1515834,-,potB,,polyamine transport protein PotB,,,YP_789556.1 ; WP_003092241.1,894,298,32.7,9.27,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653669,PA14_17640,CDS,1515839,1516930,-,potA,,polyamine transport protein PotA,,,YP_789557.1 ; WP_003138039.1,1092,364,40.1,5.32,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653671,PA14_17650,CDS,1517189,1517905,+,,,hypothetical protein,,,YP_789558.1 ; WP_003138041.1,717,239,26.9,8.28,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653673,PA14_17660,CDS,1517909,1518835,-,,,hypothetical protein,,,YP_789559.1 ; WP_003119360.1,927,309,32.4,9.88,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653675,PA14_17670,CDS,1518968,1519621,+,,,LuxR family transcriptional regulator,,,YP_789560.1 ; WP_003092229.1,654,218,23.5,4.75,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653677,PA14_17675,CDS,1519693,1520064,+,dgkA,,diacylglycerol kinase,,,YP_789561.1 ; WP_003092226.1,372,124,13.1,10.03,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653679,PA14_17690,CDS,1520134,1521744,-,,,hypothetical protein,,,YP_789562.1 ; WP_003092223.1,1611,537,58.8,7.8,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653681,PA14_17700,CDS,1521988,1522251,+,rpmE2,,50S ribosomal protein L31,,,YP_789563.1 ; WP_003092213.1,264,88,9.5,9.41,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653683,PA14_17710,CDS,1522251,1522403,+,rpmJ,,50S ribosomal protein L36,,,YP_789564.1 ; WP_003092209.1,153,51,6,12.26,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653685,PA14_17720,CDS,1522431,1523216,-,,,LuxR family transcriptional regulator,,,YP_789565.1 ; WP_003092207.1,786,262,29.4,5.42,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653687,PA14_17730,CDS,1523344,1524159,+,,,hypothetical protein,,,YP_789566.1 ; WP_003092205.1,816,272,29.6,4.84,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653689,PA14_17740,CDS,1524359,1525681,+,,,amino acid ABC transporter permease,,,YP_789567.1 ; WP_003138044.1,1323,441,47.4,8.3,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653691,PA14_17760,CDS,1525771,1526844,+,,,methylated-DNA--protein-cysteine methyltransferase,,,YP_789568.1 ; WP_003119362.1,1074,358,39.1,9.88,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653693,PA14_17780,CDS,1526841,1528250,-,,,major facilitator transporter,,,YP_789569.1 ; WP_003138045.1,1410,470,50,9.68,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653695,PA14_17790,CDS,1528469,1529356,-,,,LysR family transcriptional regulator,,,YP_789570.1 ; WP_003092195.1,888,296,32.8,7.01,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653697,PA14_17810,CDS,1529470,1531197,+,,,acyl-CoA dehydrogenase,,,YP_789571.1 ; WP_003138046.1,1728,576,64.1,7.05,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653699,PA14_17820,CDS,1531236,1532423,+,,,hypothetical protein,,,YP_789572.1 ; WP_003138047.1,1188,396,42.3,6.52,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653701,PA14_17850,CDS,1532483,1533280,+,,,enoyl-CoA hydratase,,,YP_789573.1 ; WP_011666583.1,798,266,28.2,6.14,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653703,PA14_17860,CDS,1533277,1534809,+,,,3-hydroxyacyl-CoA dehydrogenase,,,YP_789574.1 ; WP_003138050.1,1533,511,54.5,6.72,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653705,PA14_17880,CDS,1534832,1536037,+,,,acetyl-CoA acetyltransferase,,,YP_789575.1 ; WP_003098466.1,1206,402,42.1,5.83,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653707,PA14_17890,CDS,1536090,1537340,+,,,porin,,,YP_789576.1 ; WP_003138051.1,1251,417,45.7,7.55,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653709,PA14_17900,CDS,1537346,1538266,-,metR,,transcriptional regulator MetR,Class 1,,YP_789577.1 ; WP_003109716.1,921,307,34.2,5.63,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653711,PA14_17910,CDS,1538565,1539551,+,,,alpha/beta hydrolase,,,YP_789578.1 ; WP_003098462.1,987,329,35.6,6.68,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653713,PA14_17920,CDS,1539568,1539897,-,glpM,,membrane protein GlpM,,,YP_789579.1 ; WP_003119370.1,330,110,12,10.17,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653715,PA14_17930,CDS,1540030,1541568,-,glpD,,glycerol-3-phosphate dehydrogenase,,,YP_789580.1 ; WP_003109717.1,1539,513,57.1,8.45,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653717,PA14_17940,CDS,1541847,1542602,-,glpR,,glycerol-3-phosphate regulon repressor,,,YP_789581.1 ; WP_003092173.1,756,252,27.6,5.35,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653719,PA14_17960,CDS,1542808,1544325,-,glpK,,glycerol kinase,,,YP_789582.1 ; WP_003092168.1,1518,506,55.9,5.69,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653721,PA14_17980,CDS,1544365,1545204,-,glpF,,glycerol uptake facilitator protein,,,YP_789583.1 ; WP_003092166.1,840,280,28.9,6.24,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653723,PA14_17990,CDS,1545469,1545939,+,,,hypothetical protein,,,YP_789584.1 ; WP_003092163.1,471,157,16.6,9.93,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653725,PA14_18010,CDS,1546003,1547487,+,,,glycerol kinase,,,YP_789585.1 ; WP_003138054.1,1485,495,54.2,5.64,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653727,PA14_18020,CDS,1547683,1548468,+,,,PhzF family phenazine biosynthesis protein,,,YP_789586.1 ; WP_003138056.1,786,262,28.8,5.03,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653729,PA14_18040,CDS,1549283,1549459,+,,,hypothetical protein,,,YP_789587.1 ; ,177,59,6582.5,11.24,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653731,PA14_18050,CDS,1549571,1549993,-,,,hypothetical protein,,,YP_789588.1 ; WP_003117503.1,423,141,14.3,4.97,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653733,PA14_18060,CDS,1550092,1550622,-,,,hypothetical protein,,,YP_789589.1 ; WP_003092155.1,531,177,19.2,10.7,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653735,PA14_18070,CDS,1550805,1551002,+,,,periplasmic metal-binding protein,,,YP_789590.1 ; WP_003111818.1,198,66,6.9,4.92,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653737,PA14_18080,CDS,1550981,1551619,-,,,TetR family transcriptional regulator,,,YP_789591.1 ; WP_003092152.1,639,213,24.5,6.25,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653739,PA14_18090,CDS,1551985,1553163,+,,,major facilitator subfamily transporter protein,,,YP_789592.1 ; WP_003092150.1,1179,393,40.9,8.47,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653741,PA14_18100,CDS,1553171,1553347,-,,,hypothetical protein,,,YP_789593.1 ; WP_003104346.1,177,59,6.8,10.71,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653743,PA14_18110,CDS,1553474,1554397,-,mmsR,,transcriptional regulator MmsR,,,YP_789594.1 ; WP_003138059.1,924,308,35.4,8.34,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653745,PA14_18120,CDS,1554529,1556022,+,mmsA,,methylmalonate-semialdehyde dehydrogenase,,,YP_789595.1 ; WP_003092142.1,1494,498,53.7,6.38,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653747,PA14_18140,CDS,1556038,1556934,+,mmsB,,3-hydroxyisobutyrate dehydrogenase,,,YP_789596.1 ; WP_003130016.1,897,299,30.5,6.51,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653749,PA14_18150,CDS,1557036,1558922,+,,,acetyl-coa synthetase,,,YP_789597.1 ; WP_003138062.1,1887,629,69.1,6.66,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653751,PA14_18160,CDS,1558980,1559993,-,,,oxidoreductase,,,YP_789598.1 ; WP_003104356.1,1014,338,36.7,6.58,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653753,PA14_18180,CDS,1560015,1560308,-,,,hypothetical protein,,,YP_789599.1 ; WP_003104358.1,294,98,11.2,6.23,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653755,PA14_18200,CDS,1560404,1561324,+,,,LysR family transcriptional regulator,,,YP_789600.1 ; WP_003138065.1,921,307,34.3,8.98,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653757,PA14_18210,CDS,1561612,1562289,-,,,TatD family deoxyribonuclease,,,YP_789601.1 ; WP_003138067.1,678,226,25.4,6.96,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653759,PA14_18230,CDS,1562402,1563391,-,fruR,,DNA-binding transcriptional regulator FruR,,,YP_789602.1 ; WP_003104372.1,990,330,36.4,6.41,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653761,PA14_18250,CDS,1563719,1566589,+,,,phosphotransferase system enzyme I,,,YP_789603.1 ; WP_003138070.1,2871,957,101.6,4.8,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653763,PA14_18260,CDS,1566589,1567533,+,fruK,,1-phosphofructokinase,,,YP_789604.1 ; WP_003138072.1,945,315,33.3,5.47,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653765,PA14_18275,CDS,1567535,1569292,+,fruA,,"phosphotransferase system, fructose-specific IIBC component",,,YP_789605.1 ; WP_003107161.1,1758,586,59,8.26,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653767,PA14_18300,CDS,1569445,1570839,-,,,nucleotide sugar dehydrogenase,,,YP_789606.1 ; WP_003117510.1,1395,465,51.7,6.04,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653769,PA14_18310,CDS,1570836,1571249,-,,,hypothetical protein,,,YP_789607.1 ; WP_003138074.1,414,138,14.3,10.98,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653771,PA14_18320,CDS,1571246,1571593,-,,,hypothetical protein,,,YP_789608.1 ; WP_003138076.1,348,116,12.5,10.41,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653773,PA14_18330,CDS,1571590,1573239,-,arnT,,4-amino-4-deoxy-L-arabinose transferase,,,YP_789609.1 ; WP_003138078.1,1650,550,61.9,10.13,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653775,PA14_18340,CDS,1573236,1574123,-,,,hypothetical protein,,,YP_789610.1 ; WP_003138080.1,888,296,32.9,10.39,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653777,PA14_18350,CDS,1574120,1576108,-,,,bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase,,,YP_789611.1 ; WP_003092116.1,1989,663,74.3,6.68,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653779,PA14_18360,CDS,1576105,1577124,-,,,glycosyl transferase family protein,,,YP_789612.1 ; WP_003092115.1,1020,340,37.3,8.21,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653781,PA14_18370,CDS,1577121,1578269,-,,,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,,,YP_789613.1 ; WP_003130049.1,1149,383,41.8,8,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653783,PA14_18380,CDS,1578657,1580102,-,algA,,mannose-1-phosphate guanylyltransferase,,,YP_789614.1 ; WP_003092113.1,1446,482,53.1,5.43,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653785,PA14_18410,CDS,1580299,1580949,-,algF,,alginate o-acetyltransferase AlgF,,,YP_789615.1 ; WP_003138083.1,651,217,22.9,9.99,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653787,PA14_18430,CDS,1581022,1582197,-,algJ,,alginate o-acetyltransferase AlgJ,,,YP_789616.1 ; WP_003092111.1,1176,392,43.1,5.17,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653789,PA14_18450,CDS,1582212,1583774,-,algI,,alginate o-acetyltransferase AlgI,,,YP_789617.1 ; WP_003138085.1,1563,521,58.8,9,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653791,PA14_18470,CDS,1584016,1585119,-,algL,,poly(beta-D-mannuronate) lyase,,,YP_789618.1 ; WP_003092108.1,1104,368,40.8,8.79,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653793,PA14_18480,CDS,1585123,1586547,-,algX,,alginate biosynthesis protein AlgX,,,YP_789619.1 ; WP_003092107.1,1425,475,52.5,7.58,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653795,PA14_18500,CDS,1586560,1588191,-,algG,,alginate-c5-mannuronan-epimerase AlgG,,,YP_789620.1 ; WP_003138099.1,1632,544,59.8,9.28,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653797,PA14_18510,CDS,1588212,1589684,-,algE,,alginate production outer membrane protein AlgE,,,YP_789621.1 ; WP_003138101.1,1473,491,54.4,4.67,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653799,PA14_18520,CDS,1589681,1591108,-,algK,,alginate biosynthetic protein AlgK,,,YP_789622.1 ; WP_003110463.1,1428,476,52.4,5.56,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653801,PA14_18550,CDS,1591122,1592291,-,alg44,,alginate biosynthesis protein Alg44,,,YP_789623.1 ; WP_003092101.1,1170,390,41.8,9.29,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653803,PA14_18565,CDS,1592374,1593867,-,alg8,,alginate biosynthesis protein Alg8,,,YP_789624.1 ; ,1494,498,56810.1,10.17,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653805,PA14_18580,CDS,1593998,1595308,-,algD,,GDP-mannose 6-dehydrogenase AlgD,,,YP_789625.1 ; WP_003110461.1,1311,437,47.6,5.35,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653807,PA14_18590,CDS,1596211,1596990,-,,,hypothetical protein,,,YP_789626.1 ; WP_003138105.1,780,260,29.5,6.37,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653809,PA14_18600,CDS,1597097,1598179,-,,,ABC transporter ATP-binding protein,,,YP_789627.1 ; WP_003092092.1,1083,361,39.2,6.41,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653811,PA14_18610,CDS,1598184,1599101,-,argF,,ornithine carbamoyltransferase,,,YP_789628.1 ; WP_003092090.1,918,306,33.9,5.74,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653813,PA14_18620,CDS,1599380,1599847,+,,,hypothetical protein,,,YP_789629.1 ; WP_003138107.1,468,156,16.1,11.07,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD55179287,PA14_18625,ncRNA,1599985,1600084,-,reaL,,ReaL,Class 1,ReaL,,100,,,,
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653815,PA14_18630,CDS,1600241,1603228,-,,,serine protease,,,YP_789630.1 ; WP_003138109.1,2988,996,104.6,5.26,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653817,PA14_18640,CDS,1603527,1605635,+,,,oxidoreductase,,,YP_789631.1 ; WP_003138110.1,2109,703,76.7,7,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653819,PA14_18650,CDS,1605748,1606074,+,,,hypothetical protein,,,YP_789632.1 ; WP_003092082.1,327,109,11.8,4.54,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653821,PA14_18660,CDS,1606157,1607308,+,,,hypothetical protein,,,YP_789633.1 ; WP_003104266.1,1152,384,39.9,9.69,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653823,PA14_18670,CDS,1607376,1607852,-,bfrB,,bacterioferritin,,,YP_789634.1 ; WP_003092078.1,477,159,18.6,4.83,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653825,PA14_18680,CDS,1608062,1608283,-,,,hypothetical protein,,,YP_789635.1 ; WP_003092075.1,222,74,7.8,4.83,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653827,PA14_18690,CDS,1608543,1609145,+,,,peroxidase,,,YP_789636.1 ; WP_003092073.1,603,201,21.8,5.31,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653829,PA14_18700,CDS,1609324,1609998,-,rnt,,ribonuclease T,,,YP_789637.1 ; WP_003092070.1,675,225,24.7,4.77,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653831,PA14_18710,CDS,1609995,1611041,-,pyrC,,dihydroorotase,,,YP_789638.1 ; WP_003138114.1,1047,349,38.4,6.63,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653833,PA14_18720,CDS,1611174,1612139,+,,,OmpA family membrane protein,,,YP_789639.1 ; WP_003138116.1,966,322,35.1,10.32,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653835,PA14_18740,CDS,1612257,1613474,+,argG,,argininosuccinate synthase,,,YP_789640.1 ; WP_003092065.1,1218,406,45.3,5.25,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653837,PA14_18750,CDS,1613566,1613952,-,gloA1,,lactoylglutathione lyase,,,YP_789641.1 ; WP_003110007.1,387,129,14.2,4.68,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653839,PA14_18760,CDS,1614329,1615486,+,,,RND efflux membrane fusion protein,,,YP_789642.1 ; WP_003138118.1,1158,386,41.3,7.71,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653841,PA14_18780,CDS,1615483,1618644,+,,,RND efflux transporter,,,YP_789643.1 ; WP_003138121.1,3162,1054,112.4,5.2,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653843,PA14_18790,CDS,1618641,1620116,+,,,outer membrane efflux protein,,,YP_789644.1 ; WP_003138123.1,1476,492,52.8,5.22,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653845,PA14_18800,CDS,1620687,1620881,+,,,hypothetical protein,,,YP_789645.1 ; WP_003092060.1,195,65,7.1,6.78,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653847,PA14_18810,CDS,1621282,1622319,+,,,hypothetical protein,,,YP_789646.1 ; WP_003138125.1,1038,346,39.4,5.87,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653849,PA14_18820,CDS,1622352,1623338,+,,,hypothetical protein,,,YP_789647.1 ; WP_003138127.1,987,329,37.5,6.33,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653851,PA14_18830,CDS,1623369,1624802,+,,,adenylosuccinate lyase,,,YP_789648.1 ; WP_003138129.1,1434,478,52.3,6.42,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653853,PA14_18850,CDS,1624802,1626253,+,,,adenylosuccinate lyase,,,YP_789649.1 ; WP_003138131.1,1452,484,52.9,6.33,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653855,PA14_18860,CDS,1626303,1627376,+,,,hypothetical protein,,,YP_789650.1 ; WP_003092054.1,1074,358,39.8,4.85,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653857,PA14_18870,CDS,1627576,1627755,-,,,hypothetical protein,,,YP_789651.1 ; WP_003092052.1,180,60,6.9,4,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653859,PA14_18880,CDS,1627864,1628502,-,nth,,endonuclease III,,,YP_789652.1 ; WP_003092050.1,639,213,23.7,8.71,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653861,PA14_18890,CDS,1628499,1629215,-,,,electron transport complex protein RsxE,,,YP_789653.1 ; WP_003092049.1,717,239,25.5,7.93,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653863,PA14_18900,CDS,1629208,1629852,-,,,hypothetical protein,,,YP_789654.1 ; WP_003092047.1,645,215,22.7,9.49,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653865,PA14_18910,CDS,1629852,1630886,-,,,hypothetical protein,,,YP_789655.1 ; WP_003092045.1,1035,345,36.9,9.89,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653867,PA14_18920,CDS,1630889,1633213,-,,,electron transport complex protein RnfC,,,YP_789656.1 ; WP_003138135.1,2325,775,82.6,7.2,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653869,PA14_18930,CDS,1633210,1633776,-,,,electron transport complex protein RnfB,,,YP_789657.1 ; WP_003092043.1,567,189,20,4.37,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653871,PA14_18950,CDS,1633773,1634357,-,,,Na(+)-translocating NADH-quinone reductase subunit E,,,YP_789658.1 ; WP_003092041.1,585,195,20.9,9.63,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653873,PA14_18960,CDS,1634535,1635233,-,tli5a,tli5 ; type VI secretion lipase immunity Tli5,type VI secretion lipase immunity Tli5A,Class 1,type VI secretion lipase immunity Tli5A ; hypothetical protein,YP_789659.1 ; WP_003109999.1,699,233,26.6,9.21,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653875,PA14_18970,CDS,1635662,1638973,-,pldA,tle5 ; type VI secretion lipase effector  Tle5,phospholipase D,Class 1,,YP_789660.1 ; WP_003138138.1,3312,1104,122.7,6.6,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1653877,PA14_18985,CDS,1638977,1641403,-,vgrG4b,,VgrG4b,Class 1,VgrG4b ; hypothetical protein,YP_789661.1 ; ,2427,809,90587.6,6.23,Cytoplasmic [Class 3]
